"249","AMG","Amboin Airport","Amboin","Papua New Guinea","Amboin, Papua New Guinea"
"250","AMH","Arba Minch Airport","Arba Minch","Ethiopia","Arba Minch, Ethiopia"
"251","AMI","Selaparang Airport","Mataram","Indonesia","Mataram, Indonesia"
"252","AMJ","Almenara Airport","Almenara","Brazil","Almenara, Minas Gerais, Brazil"
"253","AMK","Animas Air Park (FAA: 00C)","Durango","United States","Durango, Colorado, United States"
"254","AML","Puerto Armuellas Airport","Puerto Armuellas","Panama","Puerto Armuellas, Panama"
"255","AMM","Queen Alia International Airport","Amman","Jordan","Amman, Jordan"
"256","AMN","Gratiot Community Airport","Alma","United States","Alma, Michigan, United States"
"257","AMO","Mao Airport","Mao","Chad","Mao, Chad"
"258","AMP","Ampanihy Airport","Ampanihy","Madagascar","Ampanihy, Madagascar"
"259","AMQ","Pattimura Airport","Ambon","Indonesia","Ambon, Indonesia"
"260","AMR","Arno Airport","Arno","Marshall Islands","Arno, Marshall Islands"
"261","AMS","Schiphol Airport","Haarlemmermeer","Netherlands","Haarlemmermeer, Netherlands"
"262","AMT","Amata Airport","Amata","Australia","Amata, Northern Territory, Australia"
"263","AMU","Amanab Airport","Amanab","Papua New Guinea","Amanab, Papua New Guinea"
"264","AMV","Amderma Airport","Amderma","Russia","Amderma, Russia"
"265","AMW","Ames Municipal Airport","Ames","United States","Ames, Iowa, United States"
"266","AMX","Ammaroo Airport","Ammaroo","Australia","Ammaroo, Northern Territory, Australia"
"267","AMY","Ambatomainty Airport","Ambatomainty","Madagascar","Ambatomainty, Madagascar"
"268","AMZ","Ardmore Airport","Ardmore","New Zealand","Ardmore, New Zealand"
"269","ANB","Anniston Metropolitan Airport","Anniston","United States","Anniston, Alabama, United States"
"270","ANC","Ted Stevens Anchorage International Airport","Anchorage","United States","Anchorage, Alaska, United States"
"271","AND","Anderson Regional Airport","Anderson","United States","Anderson, South Carolina, United States"
"272","ANE","Angers - Avrillé Aerodrome (Angers-Marcé Airport)","Angers","France","Angers, France"
"273","ANF","Cerro Moreno International Airport","Antofagasta","Chile","Antofagasta, Chile"
"274","ANG","Angoulême - Brie - Champniers Airport","Angoulême","France","Angoulême, France"
"275","ANH","Anuha Island Resort Airport","Anuha Island Resort","Solomon Islands","Anuha Island Resort, Solomon Islands"
"276","ANI","Aniak Airport","Aniak","United States","Aniak, Alaska, United States"
"277","ANJ","Zanaga Airport","Zanaga","Republic of the Congo","Zanaga, Republic of the Congo"
"278","ANK","Etimesgut Airport","Ankara","Turkey","Ankara, Turkey"
"279","ANL","Andulo Airport","Andulo","Angola","Andulo, Angola"
"280","ANM","Antsirabato Airport","Antalaha","Madagascar","Antalaha, Madagascar"
"281","ANN","Annette Island Airport","Annette Island","United States","Annette Island, Alaska, United States"
"282","ANO","Angoche Airport","Angoche","Mozambique","Angoche, Mozambique"
"283","ANP","Lee Airport","Annapolis","United States","Annapolis, Maryland, United States"
"284","ANQ","Tri-State Steuben County Airport","Angola","United States","Angola, Indiana, United States"
"285","ANR","Antwerp International Airport","Antwerp","Belgium","Antwerp, Belgium"
"286","ANS","Andahuaylas Airport","Andahuaylas","Peru","Andahuaylas, Peru"
"287","ANT","St. Anton Airport","St. Anton","Austria","St. Anton, Austria"
"288","ANU","V.C. Bird International Airport","St. John's","Antigua and Barbuda","St. John's, Antigua, Antigua and Barbuda"
"289","ANV","Anvik Airport","Anvik","United States","Anvik, Alaska, United States"
"290","ANW","Ainsworth Municipal Airport","Ainsworth","United States","Ainsworth, Nebraska, United States"
"291","ANX","Andøya Airport, Andenes","Andenes","Norway","Andenes, Norway"
"292","ANY","Anthony Municipal Airport","Anthony","United States","Anthony, Kansas, United States"
"293","ANZ","Angus Downs Airport","Angus Downs","Australia","Angus Downs, Northern Territory, Australia"
"294","AOA","Aroa Airport","Aroa","Papua New Guinea","Aroa, Papua New Guinea"
"295","AOB","Annanberg Airport","Annanberg","Papua New Guinea","Annanberg, Papua New Guinea"
"296","AOC","Leipzig-Altenburg Airport","Altenburg","Germany","Altenburg, Thuringia, Germany"
"297","AOD","Abou-Deia Airport","Abou-Deia","Chad","Abou-Deia, Chad"
"298","AOE","Anadolu Airport","Eskişehir","Turkey","Eskişehir, Turkey"
"299","AOG","Anshan Airport","Anshan","People's Republic of China","Anshan, Liaoning, People's Republic of China"
"300","AOH","Lima Allen County Airport","Lima","United States","Lima, Ohio, United States"
"301","AOI","Falconara Airport","Ancona","Italy","Ancona, Italy"
"302","AOJ","Aomori Airport","Aomori","Japan","Aomori, Japan"
"303","AOK","Karpathos Airport","Karpathos","Greece","Karpathos, Greece"
"304","AOL","Paso de los Libres Airport","Paso de los Libres","Argentina","Paso de los Libres, Corrientes, Argentina"
"305","AON","Arona Airport","Arona","Papua New Guinea","Arona, Papua New Guinea"
"306","AOO","Altoona-Blair County Airport","Altoona","United States","Altoona, Pennsylvania, United States"
"307","AOR","Sultan Abdul Halim Airport","Alor Star","Malaysia","Alor Star, Kedah, Malaysia"
"308","AOS","Amook Bay Seaplane Base (FAA: AK81)","Amook Bay","United States","Amook Bay, Alaska, United States"
"309","AOT","Corrado Gex Airport","Aosta","Italy","Aosta, Italy"
"310","AOU","Attopeu Airport","Attopeu","Laos","Attopeu, Laos"
